incident_id,fecha,anio,mes,dia,hora,minuto,dia_semana,tipo,prioridad,prioridad_base_tipo,latitud,longitud,dist_hermelinda_km,dist_sanchez_carrion_km,dist_parque_industrial_km,dist_cesar_vallejo_km
29476,2025-02-27 15:30:00,2025,2,27,15,30,3,Otros,BAJA,BAJA,-8.053186577437033,-79.00630809704087,1.084490787680421,2.8693534094986464,0.8241230942395597,4.469024586743557
18752,2022-08-02 18:59:00,2022,8,2,18,59,1,Extorsión,ALTA,ALTA,-8.065214249048697,-79.01941150206045,2.971410432774029,4.788499558945661,1.1442571522798441,6.4138557652940404
24200,2023-11-10 19:31:00,2023,11,10,19,31,4,Hurto,MEDIA,MEDIA,-8.027254997757213,-78.99417274963051,2.100356531749959,0.43598552671411284,3.942083538166848,1.5100155002382412
26547,2024-05-07 12:13:00,2024,5,7,12,13,1,Extorsión,ALTA,ALTA,-8.034791757332787,-78.98850020225773,1.8965945785118525,0.6505635203224379,3.654310880022133,1.692360197118092
22890,2023-07-25 04:26:00,2023,7,25,4,26,1,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.047901059867586,-79.00209278097847,0.44512969784351447,2.129338846490125,1.5655019822062144,3.720463438875342
2465,2018-08-18 23:46:00,2018,8,18,23,46,5,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.057564244879185,-79.00946716846589,1.6678966825895085,3.4658524472351755,0.2830357784426375,5.067163225810632
33246,2026-02-11 14:45:00,2026,2,11,14,45,2,Robo,ALTA,ALTA,-8.009344715394615,-78.97813991419142,4.726716456048207,2.911258387162543,6.570339809896127,1.363923640417701
1110,2018-04-12 08:32:00,2018,4,12,8,32,3,Robo,ALTA,ALTA,-8.044390969708845,-79.00412439532542,0.1312083595800825,1.9280404219819154,1.7440744560175705,3.563564412230542
19351,2022-09-17 18:34:00,2022,9,17,18,34,5,Robo,ALTA,ALTA,-8.05650543792269,-79.01583582947619,1.982619291814853,3.7900866627149083,0.4538367113294202,5.4282152358304625
1789,2018-06-23 15:42:00,2018,6,23,15,42,5,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.038011428999141,-78.98916502400466,1.6624452513381258,0.8866348219501126,3.3557268248013474,2.049502645791878
29377,2025-01-10 03:55:00,2025,1,10,3,55,4,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.051099912405405,-79.0092530464654,1.0474953430992764,2.8631324975689245,0.8247097721609296,4.495106498501731
26909,2024-05-20 01:51:00,2024,5,20,1,51,0,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.023224129593759,-78.97622379560464,3.745468239687676,2.0395015367208016,5.519857664616425,0.6823917040053836
16487,2022-01-14 14:55:00,2022,1,14,14,55,4,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.06453884023829,-79.01376779617027,2.573179515900626,4.374501975126048,0.75268436222015,5.9725941180790425
24282,2023-11-18 19:56:00,2023,11,18,19,56,5,Otros,MEDIA,BAJA,-8.049323401503496,-79.01334283221051,1.2834067220790641,3.0278567548765634,0.9760556534667264,4.67203175350714
12631,2020-12-23 18:50:00,2020,12,23,18,50,2,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.022747720542041,-78.97936921813418,3.5148281631435694,1.7591146911716649,5.3172341109035,0.3488182702688746
33264,2026-02-23 22:41:00,2026,2,23,22,41,0,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.043596068657695,-78.99971861125778,0.3640651675087881,1.583964787917484,2.0960974384195628,3.1810334228963875
28356,2024-10-09 22:39:00,2024,10,9,22,39,2,Hurto,BAJA,MEDIA,-8.040343707734223,-79.0002742972523,0.5053257716395787,1.3118468478782512,2.349717541618984,2.9453251851939224
25025,2024-01-16 13:52:00,2024,1,16,13,52,1,Otros,BAJA,BAJA,-8.071270154679274,-79.0110718302733,3.1598453547967473,4.8999883786547915,1.4791079961288198,6.441345938451388
22969,2023-07-21 21:39:00,2023,7,21,21,39,4,Violencia contra la mujer e integrantes,MEDIA,ALTA,-8.037944271673844,-79.00548741111545,0.7269290911965007,1.576899685094853,2.3425335613813956,3.199639193385081
10379,2020-05-05 21:16:00,2020,5,5,21,16,1,Otros,BAJA,BAJA,-8.049033986857335,-79.01829708090189,1.774793643108063,3.432031620733495,1.2143398719373169,5.0683931066984895
4690,2019-03-03 10:56:00,2019,3,3,10,56,6,Hurto,MEDIA,MEDIA,-8.041744459846905,-78.99148793981256,1.2920670585794714,1.2062730802656734,2.892642518165486,2.5322099440111687
